name,latitude,longitude,category,nearest,rank,id
삿뽀로관훈점,37.5724751,126.9842156,일식,조계사앞사거리,124,28
원조남산돈까스,37.55614,126.97913,일식,도동삼거리,30,29
안동장[중식],37.56612,127.007477,중식,동대문역사문화공원역 9번출구 앞,90,30
딘타이펑명동중앙점,37.564323,126.983626,중식,KEB 하나금융그룹 명동사옥 옆,90,31
유즈라멘,37.5561179,126.9679528,중식,서울역 서부교차로2,80,32
메이탄종로점 [중식],37.5689519,126.9645673,중식,경희궁 자이 2단지,108,33
하이디라오명동점,37.56531255,126.9837007,중식,KEB 하나금융그룹 명동사옥 옆,100,34
몽중헌대치점,37.5199698,127.056947,중식,청담역 2번출구,49,35
몽중헌안국점,37.5781121,126.9855516,중식,재동초교 앞 삼거리,24,36
더라운드삼성점,37.5199698,127.056947,중식,청담역 2번출구,104,37
베이징코야[중식],37.5751512,126.9805493,중식,종로문화원 건너편,122,38
일일향성수점 [중식],37.5447934,127.0531656,중식,유니베라 앞,86,39
몽중헌페럼타워점 [중식],37.5667526,126.9844846,중식,을지로지하쇼핑센터,46,40
크리스탈제이드소공점,37.5637679,126.9816538,중식,한국은행,102,41
덕후선생[중식],37.523126,127.0391626,중식,K+ 타워 앞,123,42
크리스탈제이드광화문상하이팰리스점,37.5749673,126.9812106,중식,종로문화원 건너편,124,43
무탄[중식],37.5272642,127.0299548,중식,압구정역 2번 출구 옆,62,44
중앙감속기,37.5447934,127.0531656,중식,유니베라 앞,107,45
하이디라오대학로점,37.5842131,127.0019032,중식,혜화역 1번출구,82,46
쉐이크쉑두타점,37.56866205,127.0087184,패스트푸드,동대문디자인플라자,74,47
맥도날드서울시청점,37.5667565,126.9792914,패스트푸드,부산은행,59,48
다운타우너청담,37.5243089,127.0385324,패스트푸드,K+ 타워 앞,76,49
쉐이크쉑종각점,37.5707335,126.981163,패스트푸드,종각역 1번출구 앞,53,50
다운타우너안국,37.58719,126.98236,패스트푸드,삼청공원 앞,82,51
맥도날드한양대,37.549734,127.0441677,패스트푸드,서울숲 IT캐슬,43,52
